dataset,model,subset_size,subset,n_questions,mean_hcds,t_statistic,p_value_two_sided,positive,significant_positive
StrategyQA n=50,instruct,3,"latency_per_output_token,token_entropy_mean,mechanistic_intervention_delta_accuracy",50,1.6764,8.882,8.841372078904897e-12,1,1
StrategyQA n=50,instruct,3,"latency_per_output_token,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,1.0828,4.691,2.2115677143164092e-05,1,1
StrategyQA n=50,instruct,3,"token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,1.1868,6.087,1.7180370659453104e-07,1,1
StrategyQA n=50,instruct,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,1.8761,9.138,3.674172077694493e-12,1,1
StrategyQA n=50,thinking,1,latency_per_output_token,50,-0.0563,-2.38,0.021263283977790426,0,0
StrategyQA n=50,thinking,1,token_entropy_mean,49,0.2192,2.064,0.044437857580199136,1,1
StrategyQA n=50,thinking,1,token_entropy_slope,49,0.591,3.474,0.001098332963380022,1,1
StrategyQA n=50,thinking,1,mechanistic_intervention_delta_accuracy,49,0.1703,0.96,0.3417112669369382,1,0
StrategyQA n=50,thinking,2,"latency_per_output_token,token_entropy_mean",50,0.1873,1.854,0.06969163010739488,1,0
StrategyQA n=50,thinking,2,"latency_per_output_token,token_entropy_slope",50,0.5345,3.201,0.002405439984951574,1,1
StrategyQA n=50,thinking,2,"latency_per_output_token,mechanistic_intervention_delta_accuracy",50,0.1026,0.619,0.5390833760356943,1,0
StrategyQA n=50,thinking,2,"token_entropy_mean,token_entropy_slope",49,0.6481,3.77,0.0004468905856467309,1,1
StrategyQA n=50,thinking,2,"token_entropy_mean,mechanistic_intervention_delta_accuracy",49,0.3082,1.867,0.06797281140895639,1,0
StrategyQA n=50,thinking,2,"token_entropy_slope,mechanistic_intervention_delta_accuracy",49,0.5536,2.916,0.005379744874693948,1,1
StrategyQA n=50,thinking,3,"latency_per_output_token,token_entropy_mean,token_entropy_slope",50,0.6092,3.593,0.000757172457629629,1,1
StrategyQA n=50,thinking,3,"latency_per_output_token,token_entropy_mean,mechanistic_intervention_delta_accuracy",50,0.2731,1.719,0.09193736354525406,1,0
StrategyQA n=50,thinking,3,"latency_per_output_token,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.5117,2.744,0.008455686495989934,1,1
StrategyQA n=50,thinking,3,"token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",49,0.6346,3.373,0.0014774266342967302,1,1
StrategyQA n=50,thinking,4,"latency_per_output_token,token_entropy_mean,token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.599,3.241,0.002145737070578857,1,1
GSM8K n=500,instruct,1,latency_per_output_token,500,1.7767,45.433,0.0,1,1
GSM8K n=500,instruct,1,token_entropy_mean,50,0.7353,4.364,6.582365987028993e-05,1,1
GSM8K n=500,instruct,1,token_entropy_slope,50,1.0618,5.271,3.036638792419666e-06,1,1
GSM8K n=500,instruct,1,paraphrase_consistency,458,0.9773,16.593,0.0,1,1
GSM8K n=500,instruct,1,perturbation_delta_accuracy,500,0.4481,6.824,2.5748514431711556e-11,1,1
GSM8K n=500,instruct,1,mechanistic_intervention_delta_accuracy,4,-0.0,-0.0,1.0,0,0
GSM8K n=500,instruct,2,"latency_per_output_token,token_entropy_mean",500,1.7945,44.236,0.0,1,1
GSM8K n=500,instruct,2,"latency_per_output_token,token_entropy_slope",500,1.8258,43.166,0.0,1,1
GSM8K n=500,instruct,2,"latency_per_output_token,paraphrase_consistency",500,2.1761,46.203,0.0,1,1
GSM8K n=500,instruct,2,"latency_per_output_token,perturbation_delta_accuracy",500,2.0211,35.39,0.0,1,1
GSM8K n=500,instruct,2,"latency_per_output_token,mechanistic_intervention_delta_accuracy",500,1.7229,40.443,0.0,1,1
GSM8K n=500,instruct,2,"token_entropy_mean,token_entropy_slope",50,1.4598,6.389,5.861657714767432e-08,1,1
GSM8K n=500,instruct,2,"token_entropy_mean,paraphrase_consistency",464,1.0136,17.178,0.0,1,1
GSM8K n=500,instruct,2,"token_entropy_mean,perturbation_delta_accuracy",500,0.5065,7.649,1.0502709812953981e-13,1,1
GSM8K n=500,instruct,2,"token_entropy_mean,mechanistic_intervention_delta_accuracy",50,0.2611,1.298,0.20035119765414633,1,0
GSM8K n=500,instruct,2,"token_entropy_slope,paraphrase_consistency",464,1.0358,16.775,0.0,1,1
GSM8K n=500,instruct,2,"token_entropy_slope,perturbation_delta_accuracy",500,0.5417,7.864,2.3092638912203256e-14,1,1
GSM8K n=500,instruct,2,"token_entropy_slope,mechanistic_intervention_delta_accuracy",50,0.505,1.986,0.05259683908875745,1,0
GSM8K n=500,instruct,2,"paraphrase_consistency,perturbation_delta_accuracy",500,1.2129,15.433,0.0,1,1
